Show List,Simpletix SKU General,Simpletix SKU 4-Pack,Simpletix SKU Fluid Pass,,
"Thu / Oct 3, 8:00PM - Sadonna",298157,311781,311782,,"Thu / Oct 3, 8:00PM - Sadonna"
"Tue / Oct 15, 8:00PM - Gender Splendor: A Cabaret of Gender Exploration",298159,311767,311768,,
"Wed / Oct 16, 8:00PM - The Other Half | The Beauty of Falling Apart",294414,311769,311771,,"Tue / Oct 15, 8:00PM - Gender Splendor: A Cabaret of Gender Exploration"
"Thu / Oct 17, 8:00PM - The Other Half | The Beauty of Falling Apart",298081,311770,311772,,"Wed / Oct 16, 8:00PM - The Other Half | The Beauty of Falling Apart"
"Fri / Oct 18, 7:30PM - RedRover: Road Trip | I AM A GENIUS does anyone here know me?",298161,311727,311732,,"Thu / Oct 17, 8:00PM - The Other Half | The Beauty of Falling Apart"
"Fri / Oct 18, 8:00PM - HINKYPUNK",298163,311750,311751,,"Fri / Oct 18, 7:30PM - RedRover: Road Trip | I AM A GENIUS does anyone here know me?"
"Fri / Oct 18, 9:30PM - Fluid Kiki Ball",299425,311729,311730,,"Fri / Oct 18, 8:00PM - HINKYPUNK"
"Sat / Oct 19, 5:00PM - RedRover: Road Trip | I AM A GENIUS does anyone here know me?",298162,311728,311733,,"Fri / Oct 18, 9:30PM - Fluid Kiki Ball"
"Sat / Oct 19, 8:00PM - Split",298165,311752,311753,,
"Tues / Oct 22, 7:30PM - The Space Where You Dream & I Live | oblivion ",298167,311765,311766,,"Sat / Oct 19, 5:00PM - RedRover: Road Trip | I AM A GENIUS does anyone here know me?"
"Wed / Oct 23, 8:00PM - Pour",298168,311755,311757,,"Sat / Oct 19, 8:00PM - Split"
"Wed / Oct 23, 7:30PM - Talking Truths: Performance",299427,311759,311760,,
"Thu / Oct 24, 8:00PM - Pour",298169,311756,311758,,"Tues / Oct 22, 7:30PM - The Space Where You Dream & I Live | oblivion "
"Thu / Oct 24, 9:00PM - Physical Therapy Cabaret",298296,311761,311763,,"Wed / Oct 23, 8:00PM - Pour"
"Fri / Oct 25, 7:30PM - thaw | Extended Body | No More Fantasies ",298297,311773,311775,,"Wed / Oct 23, 7:30PM - Talking Truths: Performance"
"Fri / Oct 25, 8:00PM - Running Piece",298299,311777,311779,,
"Sat / Oct 26, 7:30PM - thaw | Extended Body | No More Fantasies ",298298,311774,311776,,"Thu / Oct 24, 8:00PM - Pour"
"Sat / Oct 26, 8:00PM - Running Piece",298300,311778,311780,,"Thu / Oct 24, 9:00PM - Physical Therapy Cabaret"
"Sat / Oct 26, 9:00PM - Physical Therapy Cabaret",298413,311762,311764,,"Fri / Oct 25, 7:30PM - thaw | Extended Body | No More Fantasies "
,,,,,"Fri / Oct 25, 8:00PM - Running Piece"
,,,,,
,,,,,"Sat / Oct 26, 7:30PM - thaw | Extended Body | No More Fantasies "
,,,,,"Sat / Oct 26, 8:00PM - Running Piece"
,,,,,"Sat / Oct 26, 9:00PM - Physical Therapy Cabaret"
